"ANO","MES","codigo","nombreC","nombreV","FuenteC","FuenteV","VALOR","varmensual","varanual"
2013,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81852,0.179915549843951,1.22681177343557
2013,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82468,0.752577823388555,0.429884917493759
2013,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",82868,0.48503662026483,-0.19751421138838
2013,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81598,-1.53255780277067,-1.59905455597897
2013,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",81083,-0.631142920169612,-1.3528803455198
2013,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",80050,-1.27400318192469,-2.00159147946379
2013,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",77900,-2.68582136164897,-3.84496698142319
2014,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",79059,1.48780487804878,-4.45926838995033
2014,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",78737,-0.407290757535511,-5.48346437788848
2014,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",77452,-1.6320154438193,-6.39789234524932
2014,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",77182,-0.348603005732583,-6.9513430100786
2014,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",76463,-0.931564354383146,-6.41576402912918
2014,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",75952,-0.668297084864575,-7.20813174998778
2014,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",76382,0.566147040235939,-7.37983217732939
2014,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",77094,0.932156790866958,-6.96770767968335
2014,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",76484,-0.791241860585778,-6.26731047329591
2014,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",75547,-1.22509282987291,-6.82757174746864
2014,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",74266,-1.69563318199267,-7.22548407245472
2014,12,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73274,-1.33573909999192,-5.93838254172015
2015,1,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73563,0.394410022654693,-6.95177019694153
2015,2,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",73235,-0.445876323695336,-6.98782021159048
2015,3,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",72029,-1.64675360142009,-7.0017559262511
2015,4,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",71021,-1.39943633814158,-7.98243113679355
2015,5,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",69640,-1.94449529012546,-8.92327007833854
2015,6,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",69035,-0.868753589890867,-9.10706762165578
2015,7,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",68422,-0.887955384949663,-10.4213034484564
2015,8,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",68882,0.672298383560843,-10.6519314084105
2015,9,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",68310,-0.830405621207282,-10.6872025521678
2015,10,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",67627,-0.999853608549261,-10.4835400479172
2015,11,"Ind01","Paro Registrado","Desocupació Registrada","Servicio Valenciano de Empleo y Formación (LABORA).","Servici Valencià d'Ocupació i Formació (LABORA).",66814,-1.20218256022003,-10.0342013842135
