Distrito;Sección;Total;Menos de 16 años;De 16 a 64 años;65 años y más
10;25;1258;217;848;193
10;26;1848;253;1119;476
10;27;1003;126;612;265
10;28;1291;195;762;334
10;29;1938;319;1288;331
10;30;1050;157;679;214
10;31;1900;255;1230;415
10;32;1595;197;1061;337
10;33;1307;217;829;261
10;34;1675;244;1048;383
10;35;1153;165;753;235
10;36;980;151;608;221
10;37;1105;139;673;293
10;39;1492;237;990;265
10;40;2729;579;1834;316
10;41;877;142;514;221
10;43;827;96;505;226
10;44;1222;160;793;269
10;45;823;97;463;263
10;46;890;98;504;288
10;47;1289;209;769;311
10;48;1385;188;1026;171
10;49;1503;216;999;288
10;50;1224;185;780;259
10;51;1283;207;859;217
10;52;2101;360;1476;265
10;53;2220;368;1603;249
10;54;1726;297;1171;258
11;1;1316;196;952;168
11;2;1511;253;1044;214
11;4;1313;206;833;274
11;5;1702;255;1141;306
11;6;1140;164;722;254
11;8;2118;306;1413;399
11;9;2311;413;1553;345
11;11;1530;206;993;331
11;12;707;58;448;201
11;13;1123;195;702;226
11;15;856;103;511;242
11;17;800;103;549;148
11;18;856;122;522;212
11;19;947;96;575;276
11;21;1239;169;816;254
11;22;1049;220;652;177
11;24;843;122;565;156
11;26;1452;189;874;389
11;28;695;103;418;174
11;29;778;109;492;177
11;30;1250;153;829;268
11;31;943;119;604;220
11;32;1107;184;759;164
11;33;1804;245;1129;430
11;34;1508;139;979;390
11;35;1016;103;704;209
11;36;909;115;613;181
11;37;838;128;511;199
11;38;1454;179;961;314
11;39;1257;146;803;308
11;40;1185;142;846;197
11;41;2424;357;1592;475
11;42;1381;224;891;266
11;44;983;165;655;163
11;45;957;152;610;195
11;46;1428;224;910;294
11;47;1383;257;853;273
11;48;1240;202;794;244
11;50;1285;122;796;367
11;51;1107;128;699;280
11;52;1914;264;1366;284
11;53;1758;318;1211;229
11;54;1181;208;806;167
11;55;1245;190;862;193
12;1;1880;198;1257;425
12;2;1187;159;805;223
12;3;1611;184;1093;334
12;6;2047;234;1349;464
12;8;1378;162;918;298
12;9;1039;108;608;323
12;10;1467;178;907;382
12;11;1060;152;721;187
12;12;1617;244;1065;308
12;13;2132;326;1455;351
12;14;1782;359;1176;247
12;15;1141;164;773;204
12;16;1931;439;1328;164
12;18;1384;199;891;294
12;19;1179;149;807;223
12;20;1237;135;797;305
12;21;1959;267;1255;437
12;23;1185;124;752;309
12;24;1832;253;1191;388
12;25;2402;423;1708;271
12;26;1276;177;780;319
12;27;1296;187;899;210
12;28;1621;183;1041;397
12;29;1243;191;815;237
12;30;1460;210;918;332
12;31;1375;184;950;241
12;32;924;136;582;206
12;33;1334;163;823;348
12;34;1024;134;675;215
12;35;949;117;631;201
12;36;1528;190;1068;270
